100 328
1 18 3
1 61 6
1 62 7
1 65 10
2 40 0
3 24 10
3 35 4
3 48 5
3 65 0
4 36 5
4 89 1
5 21 0
6 31 8
6 60 10
7 12 3
7 47 2
7 71 2
8 76 1
9 15 1
9 26 4
9 29 9
9 66 6
9 72 7
9 76 2
10 11 4
10 15 4
10 47 0
10 58 2
11 41 2
11 60 3
11 69 4
12 2 2
12 6 10
12 26 4
12 79 4
12 81 9
12 89 3
13 25 10
13 52 10
14 2 4
14 35 8
14 74 4
15 13 9
15 63 2
16 3 5
16 20 1
16 31 5
16 61 8
16 97 1
17 86 10
18 26 0
18 42 9
18 75 1
19 34 2
19 59 3
19 88 2
19 89 10
20 11 4
20 68 3
20 72 10
20 82 0
20 85 8
20 88 4
21 1 3
21 22 0
21 69 6
22 26 6
22 73 2
23 2 3
23 21 2
23 29 9
23 42 7
23 58 8
24 23 8
24 72 10
24 74 5
24 91 2
25 38 5
25 49 1
25 51 5
25 81 4
26 6 3
26 58 5
27 64 1
27 86 5
27 93 0
28 74 6
29 25 4
29 61 6
30 15 9
30 25 8
30 35 6
30 48 9
31 18 3
32 7 8
32 34 10
32 49 7
32 56 10
32 88 2
32 98 6
33 26 9
33 28 1
33 42 8
33 55 7
33 57 1
33 93 7
34 28 1
34 47 3
34 60 5
35 66 6
35 69 0
35 76 4
35 80 3
35 88 9
35 98 6
36 20 9
36 25 9
36 52 4
36 71 9
36 75 10
36 99 9
37 16 0
38 17 7
38 59 6
38 86 1
38 93 4
38 94 5
39 34 0
39 43 5
39 44 3
40 6 0
40 15 2
40 35 0
41 40 5
41 54 10
41 58 8
42 20 9
42 35 5
42 65 8
42 84 4
43 19 9
43 61 4
43 66 8
45 38 10
45 40 4
45 49 1
45 61 6
45 82 1
46 20 10
46 73 3
46 82 0
46 97 0
47 46 3
47 48 0
48 26 1
49 84 10
50 13 6
50 20 6
50 39 1
50 44 1
50 53 3
51 9 2
51 36 9
51 45 10
52 49 7
53 1 3
54 23 2
54 49 9
54 62 4
55 17 5
55 23 2
55 27 9
55 52 2
55 67 4
55 73 0
56 48 0
57 5 5
57 12 8
57 49 5
58 60 2
59 23 6
59 34 3
59 58 10
59 67 7
59 74 10
59 90 8
59 99 5
60 24 4
60 47 6
60 67 7
60 72 6
61 21 9
61 42 1
62 36 2
62 47 8
62 56 4
62 74 6
62 80 2
63 1 10
63 20 9
63 80 1
64 11 6
64 38 1
64 40 0
65 81 6
65 86 6
65 97 6
66 42 2
66 51 3
66 71 3
67 37 1
67 64 1
68 8 5
68 31 0
68 57 3
69 15 0
69 42 3
69 44 2
69 89 0
69 92 1
70 3 5
70 11 8
70 28 7
70 42 0
70 45 5
70 66 0
70 71 5
70 86 2
71 14 6
71 47 9
71 74 3
71 81 5
72 22 9
72 87 9
73 30 7
73 37 1
73 51 1
73 81 5
73 84 3
74 6 3
75 1 0
75 25 6
75 40 6
75 81 1
75 86 5
76 33 9
76 58 9
76 64 9
77 3 7
77 20 7
77 41 2
77 53 6
77 79 5
77 86 3
77 95 6
78 28 7
78 75 6
79 31 0
79 49 10
79 54 2
79 56 2
79 72 0
79 92 7
79 97 2
80 47 9
80 75 5
81 6 9
81 22 1
81 43 7
81 57 0
81 67 5
82 72 1
83 73 3
84 3 8
84 54 3
84 65 2
84 69 9
85 9 0
85 53 7
85 82 10
85 90 8
86 96 10
87 22 0
88 5 10
88 8 2
88 45 1
89 40 5
89 41 4
89 44 3
89 59 1
89 97 10
90 7 7
90 25 4
90 60 9
90 71 9
90 89 1
90 94 5
91 3 5
91 8 1
91 63 10
91 68 0
92 31 0
92 56 1
93 2 7
93 31 6
93 57 5
93 80 7
93 86 4
93 98 4
94 14 10
94 35 5
94 50 3
94 72 10
95 26 10
95 86 5
96 4 1
96 35 0
96 37 10
96 66 10
96 87 0
96 99 4
97 52 0
97 58 4
97 90 0
97 92 2
98 65 3
99 10 7
99 70 5
1
2
4 13 19
4 56 89
1
3
4 13 19
4 56 89
9
